parameter_no,region
001,北海道
002,青森
003,岩手
004,宮城
005,秋田
006,山形
007,福島
008,茨城
009,栃木
010,群馬
011,埼玉
012,千葉
013,東京
014,神奈川
015,新潟
016,富山
017,石川
018,福井
019,山梨
020,長野
021,岐阜
022,静岡
023,愛知
024,三重
025,滋賀
026,京都
027,大阪
028,兵庫
029,奈良
030,和歌山
031,鳥取
032,島根
033,岡山
034,広島
035,山口
036,徳島
037,香川
038,愛媛
039,高知
040,福岡
041,佐賀
042,長崎
043,熊本
044,大分
045,宮崎
046,鹿児島
047,沖縄
048,新宿
049,渋谷
050,千代田区
051,台東区
052,豊島区
053,世田谷
054,目黒
055,杉並
056,品川
057,葛飾
058,八王子
059,立川
060,武蔵野
061,三鷹
062,町田
063,調布